Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
ARKA,673,0,0.00,0,0.00,61.20,673,0
GOOP,639,0,0.00,2,26.26,28.57,639,0
OGIG,627,1,38.34,2,35.57,37.57,627,0
QUVU,622,0,0.00,0,0.00,23.99,622,0
VAMO,609,0,0.00,0,0.00,29.08,609,0
JCPI,608,0,0.00,0,0.00,46.12,608,0
IBHI,604,0,0.00,200,22.35,22.90,604,0
DMAY,600,0,0.00,0,0.00,37.38,600,0
DFNL,599,3,36.00,0,0.00,32.72,599,0
SEIM,589,0,0.00,0,0.00,30.42,589,0
DFRA,580,0,0.00,0,0.00,30.57,580,0
FDEC,573,0,0.00,0,0.00,40.67,573,0
WEED,573,2,54.73,10,29.20,38.81,573,0
AESR,572,0,0.00,0,0.00,14.94,172,400
FFOG,570,0,0.00,200,29.28,32.33,570,0
PAWZ,566,36,52.30,200,41.82,47.08,566,0
GSST,563,0,0.00,0,0.00,50.25,563,0
BMAY,554,0,0.00,0,0.00,35.73,554,0
IGLD,545,0,0.00,10,19.85,20.05,545,0
GHMS,533,0,0.00,0,0.00,25.40,533,0
BRLN,530,0,0.00,1,52.08,52.57,530,0
BLKC,519,10,21.80,0,0.00,19.05,519,0
FIBR,514,0,0.00,0,0.00,84.85,514,0
NOCT,514,0,0.00,0,0.00,47.29,514,0
VFMV,507,0,0.00,0,0.00,109.77,507,0
GDEC,500,0,0.00,0,0.00,31.29,500,0
BAUG,498,0,0.00,0,0.00,37.90,498,0
FDVL,480,0,0.00,1,4.50,11.41,480,0
BJAN,465,0,0.00,0,0.00,42.81,465,0
DOCT,458,0,0.00,0,0.00,37.50,458,0
HELX,439,0,0.00,1,19.00,30.49,439,0
PSMD,437,0,0.00,0,0.00,26.72,437,0
BSMC,436,0,0.00,0,0.00,28.75,436,0
BJUL,432,0,0.00,0,0.00,39.61,432,0
LEAD,429,0,0.00,1,58.51,62.35,429,0
HCRB,428,0,0.00,0,0.00,34.05,428,0
EMTL,424,0,0.00,0,0.00,41.79,424,0
FDEV,423,0,0.00,0,0.00,26.78,423,0
TSLH,421,0,0.00,0,0.00,22.47,420,1
SAUG,418,0,0.00,0,0.00,21.24,418,0
